"releve_diversity","experts_diversity_20"
42,10
37,4
43,6
42,7
46,6
55,8
31,4
30,3
41,3
42,7
23,3
49,6
18,5
47,4
33,5
13,0
40,5
19,2
42,8
7,1
24,4
49,7
51,6
49,7
8,0
43,7
14,0
5,0
56,6
38,8
43,9
32,8
37,8
26,3
32,5
67,11
58,9
25,5
20,1
53,7
36,0
38,4
10,0
13,0
30,7
23,2
44,9
33,8
57,10
28,5
36,8
12,1
14,0
15,0
17,2
10,1
9,1
33,7
8,0
34,4
13,1
17,2
20,7
16,1
21,0
33,7
24,3
36,3
29,6
38,6
25,3
41,8
18,2
27,5
16,2
15,0
14,1
14,1
14,0
46,8
33,5
20,3
7,0
23,7
22,2
9,1
28,2
20,3
12,1
11,0
17,1
24,5
14,1
16,1
30,5
56,10
47,6
32,9
62,10
17,2
19,2
28,6
28,8
38,8
23,4
33,7
42,6
24,6
37,9
50,14
25,2
46,8
25,3
53,12
17,2
39,7
30,9
39,10
31,6
21,4
20,7
18,3
16,3
31,7
34,11
15,3
32,0
38,10
6,1
8,0
23,5
39,8
37,10
33,9
10,0
22,5
11,0
34,4
3,0
24,5
15,3
17,6
8,0
32,4
9,2
6,3
14,3
40,10
24,5
9,1
6,1
7,1
28,6
40,8
40,8
47,10
21,7
10,2
28,5
32,11
15,3
15,3
4,0
37,9
41,7
38,9
59,11
30,7
6,1
12,0
41,6
30,3
33,11
3,1
17,3
20,3
11,3
22,2
41,7
24,5
25,3
22,3
36,9
17,1
7,2
28,6
51,11
13,1
5,1
12,1
17,2
59,0
27,4
17,1
14,2
15,0
63,11
5,0
10,0
31,8
22,4
17,3
17,1
11,1
22,2
55,5
28,1
17,2
34,6
11,0
31,5
31,6
57,17
17,3
50,15
44,10
11,2
16,4
36,10
11,2
39,8
41,8
37,6
54,13
31,5
48,15
34,8
22,0
46,9
38,7
61,15
51,9
33,5
29,6
16,0
27,6
23,3
13,1
6,1
17,4
27,6
11,0
21,2
30,5
40,8
11,2
54,9
37,8
42,9
11,0
47,10
20,0
53,5
33,5
33,6
30,5
33,4
29,5
47,7
50,12
8,0
69,13
9,2
34,7
25,4
54,8
34,7
25,2
21,4
31,7
32,3
40,2
23,5
24,2
24,1
39,7
27,1
43,6
65,9
25,1
55,9
38,4
22,3
47,1
48,7
44,4
48,8
14,4
39,6
20,2
41,4
13,0
27,2
54,12
30,1
26,2
26,2
26,3
37,3
28,2
15,2
53,13
17,4
44,3
28,4
29,4
32,3
22,3
25,4
27,6
42,4
30,9
29,6
24,4
25,3
77,10
23,3
35,3
29,4
45,8
40,6
25,6
22,6
24,6
21,5
9,3
70,6
34,5
13,3
29,4
20,4
35,6
67,11
32,5
52,9
74,13
28,7
41,11
49,10
62,12
76,14
62,15
14,4
12,4
39,9
31,6
26,3
20,3
47,8
39,9
27,4
22,5
54,14
14,3
31,3
27,5
32,6
30,5
34,5
24,4
39,7
33,5
28,5
16,3
27,4
34,4
9,2
67,12
48,9
65,11
47,10
48,13
46,11
44,9
55,13
38,7
33,6
36,9
48,11
21,5
33,6
52,9
42,13
44,11
30,5
47,10
50,6
33,10
40,4
46,9
48,8
19,5
42,10
62,15
34,7
52,12
48,14
39,13
40,11
63,11
43,10
43,9
31,7
23,1
38,8
66,13
37,6
24,7
66,10
40,9
64,13
42,11
20,4
47,10
21,4
58,13
61,10
30,4
60,10
42,11
44,13
20,4
32,8
37,7
44,11
23,5
51,10
34,6
26,3
36,10
35,8
41,8
53,10
27,7
24,7
58,11
68,10
17,5
18,6
29,7
53,5
37,4
25,5
28,3
63,8
23,5
20,6
35,9
55,5
23,5
24,7
23,3
32,8
21,7
32,8
30,8
33,10
33,7
16,3
28,7
11,4
20,3
41,7
22,8
24,6
57,7
20,2
38,11
37,8
33,5
16,5
15,1
20,6
16,6
51,10
25,9
22,8
16,5
21,3
24,2
15,4
17,3
17,1
34,7
19,3
42,9
26,6
36,6
33,6
26,0
28,6
35,6
36,5
24,6
19,5
17,3
25,6
44,7
21,8
14,1
37,5
26,5
33,5
58,7
40,5
48,6
20,2
37,6
38,5
8,0
43,6
17,4
17,1
17,2
6,0
39,4
29,4
16,2
20,2
36,6
